id,text,action,expression,category
001,了解！,片手でびしっと敬礼する,自信のある笑顔,basic
002,了解です,両手を体の横に添えて丁寧に会釈する,真面目な表情,basic
003,OK！,親指を立てて突き出す,明るい笑顔,basic
004,おけ！,指で小さくOKサインを作る,軽くウインクした笑顔,basic
005,承知しました,腰を折って深く一礼する,引き締まった真顔,basic
006,はい！,手をまっすぐ高く挙げる,元気いっぱいの笑顔,basic
007,はーい,ゆるく片手を挙げる,のんびりした笑顔,basic
008,なるほど,人差し指を立てて顎に添える,納得した表情,basic
009,たしかに,腕を組んで深くうなずく,目を細めた納得顔,basic
010,それでOK,両手で頭上に大きな丸を作る,満足げな笑顔,basic
011,ありがとう！,胸の前で両手を合わせる,嬉しそうな笑顔,thanks
012,ありがとうございます,腰を折って丁寧にお辞儀する,感謝のこもった柔らかい表情,thanks
013,助かります！,両手を差し出して受け取る仕草,ほっとした笑顔,thanks
014,助かった！,額の汗を手の甲で拭う,安堵の笑顔,thanks
015,すみません！,片手を立てて軽く謝る,申し訳なさそうな苦笑い,apology
016,ごめんなさい,両手を合わせて頭を下げる,しゅんとした表情,apology
017,申し訳ありません,直立して深々と最敬礼する,硬く沈んだ真顔,apology
018,お手数おかけします,小さく頭を下げて手を添える,恐縮した表情,apology
019,お願いします,両手を前で合わせて差し出す,頼み込む表情,request
020,よろしくお願いします,名刺を差し出すように一礼する,誠実な笑顔,request
021,今確認します,書類を手に取って覗き込む,集中した真剣な目,work
022,確認しました,書類に大きくチェックを入れる,すっきりした笑顔,work
023,確認中です,虫眼鏡で書類を覗き込む,眉を寄せた真剣な表情,work
024,少々お待ちください,手のひらを前に出して制する,丁寧な微笑み,work
025,ちょっと待って,両手を前に突き出して止める,慌てた表情,work
026,今やります,腕まくりをして身構える,やる気に満ちた表情,work
027,あとでやります,頭を掻きながら目をそらす,ごまかし笑い,work
028,対応します,胸を叩いて請け合う,頼もしい笑顔,work
029,対応中です,ノートパソコンを高速でタイピングする,眼鏡が光る真剣な表情,work
030,完了しました！,両手を上げてガッツポーズする,達成感のある笑顔,work
031,今向かってます,大股で前に駆け出す,前を向いた真剣な表情,move
032,到着しました,手を高く挙げて合図する,爽やかな笑顔,move
033,もうすぐです,腕時計を指差す,急ぎ気味の笑顔,move
034,少し遅れます,片手で拝みながら小走りする,焦った苦笑い,move
035,遅れます！,鞄を抱えて全力疾走する,汗をかいた必死の表情,move
036,今出ます,ドアノブに手をかけて振り返る,慌ただしい笑顔,move
037,帰ります,鞄を持って片手を振る,ほっとした笑顔,move
038,また連絡します,スマホを耳に当てる仕草,軽い笑顔,move
039,後ほど連絡します,スマホを掲げて画面を指差す,落ち着いた微笑み,move
040,明日でお願いします,指を一本立てて明日を示す,申し訳なさそうな笑顔,request
041,えっ！？,体を大きくのけぞらせる,目を丸く見開いた顔,surprise
042,まじで！？,前のめりに身を乗り出す,口を大きく開けた驚き顔,surprise
043,ほんと！？,両手を頬に当てる,目を輝かせた驚き顔,surprise
